Plot,treeid,Species,stems,X,Y,DBH 
1,1,QUDO,1,-6.1,42.3,24.7
1,2,QUDO,3,-10.8,45.3,13.3
1,2,QUDO,,-10.8,45.3,16.2
1,2,QUDO,,-10.8,45.3,31.2
1,3,QUAG,1,-2.9,32,19.5
1,4,QUDO,2,-2,32,23
1,4,QUDO,,-2,32,26.5
1,5,QUDO,1,3.4,37.3,21.8
1,6,QUDO,2,6.3,35.3,25.5
1,6,QUDO,,6.3,35.3,23.8
1,7,QUDO,1,10.5,26.8,22.4
1,8,QUDO,2,-8.7,29.2,19.1
1,8,QUDO,,-8.7,29.2,18.5
1,9,QUDO,1,3.5,31.6,18.8
1,10,QUDO,1,8.7,26.1,18.6
1,11,QUDO,2,-10.4,27.2,22
1,11,QUDO,,-10.4,27.2,17.2
1,12,QUDO,1,7.4,26.3,23.1
1,13,QUDO,1,-2.5,26.3,15.3
1,14,QUDO,2,0.8,27,20.5
1,14,QUDO,,0.8,27,27.6
1,15,QUDO,2,-7.7,25.1,13
1,15,QUDO,,-7.7,25.1,16
1,16,QUDO,1,-11.1,24,11.5
1,17,QUDO,1,-5.3,23.4,15.6
1,18,QUDO,1,-5.7,23.4,34
1,19,QUDO,1,-5.1,22.8,29
1,20,QUDO,2,-4,20.1,23
1,20,QUDO,,-4,20.1,6.5
1,21,QUDO,1,11.2,18.3,31.3
1,22,QUDO,1,4.3,7.5,36
1,23,QUDO,4,-1.6,9.4,23.6
1,23,QUDO,,-1.6,9.4,23.3
1,23,QUDO,,-1.6,9.4,5.6
1,23,QUDO,,-1.6,9.4,11.3
1,24,QUDO,2,-8.8,7.5,37
1,24,QUDO,,-8.8,7.5,15.2
1,25,QUDO,1,-1.4,3,37
1,26,QUDO,1,-3.5,2.2,33.5
1,27,QUDO,1,-10.4,0.1,17.9
1,28,QUDO,1,10.6,3.8,19.7
1,29,QUDO,1,6.8,2.8,35.5
1,30,QUDO,1,2.1,1.3,24.9
2,31,QUDO,1,-8.2,49.3,55.2
2,32,QUDO,1,-10.0,41.0,15.8
2,33,QUDO,1,-0.8,40.6,81.3
2,34,QUDO,1,-10.6,40.8,16.5
2,35,QUDO,1,-4.8,37.4,13.5
2,36,QUAG,1,-5.0,36.3,15.0
2,37,QUDO,2,-6.5,35.3,17.3
2,37,QUDO,,-6.5,35.3,12.1
2,38,QUDO,1,2.0,33.0,28.0
2,39,QUDO,2,12.2,33.0,45.3
2,39,QUDO,,12.2,33.0,41.5
2,40,QUDO,1,-3.9,28.4,32.9
2,41,QUDO,1,2.3,28.0,45.0
2,42,QUDO,1,-1.5,25.6,12.7
2,43,QUDO,2,4.7,25.2,29.6
2,43,QUDO,,4.7,25.2,13.0
2,44,QUDO,1,-2.6,25.0,19.1
2,45,QUDO,1,11.5,19.1,27.5
2,46,QUDO,2,-8.3,10.0,24.9
2,46,QUDO,,-8.3,10.0,16.0
2,47,QUDO,1,-1.5,4.0,53.5
2,48,QUDO,1,-11.6,1.7,55.0
3,49,QUDO,1,-2.28,49.3,14.5
3,50,QUDO,1,-4.3,49.3,13.5
3,51,QUDO,1,-2.25,48,20.5
3,52,QUDO,1,-3.7,46.9,27.5
3,53,QUDO,1,-5.7,46.9,12
3,54,QUDO,3,-5.1,45.3,22
3,54,QUDO,-,-5.1,45.3,17.5
3,54,QUDO,-,-5.1,45.3,20.5
3,55,QUDO,1,0,35,16.5
3,56,QUDO,1,0,34.3,28.2
3,57,QUDO,3,-10.15,33.7,24
3,57,QUDO,-,-10.15,33.7,28.2
3,57,QUDO,-,-10.15,33.7,8
3,58,QUDO,1,-4.65,25.75,19.1
3,59,QUDO,1,-3.2,24.35,31.8
3,60,QUDO,1,-7.55,24.1,20.1
3,61,QUDO,2,-8.3,19.1,33.2
3,61,QUDO,-,-8.3,19.1,23
3,62,QUDO,1,-5.15,11.75,18.5
3,63,QUDO,1,-9.55,10.4,29.35
3,64,QUDO,1,-1.2,7,40.3
3,65,QUDO,2,-5.55,7.1,8.9
3,65,QUDO,-,-5.55,7.1,20.2
3,66,QUDO,2,-7.95,5.7,27.3
3,66,QUDO,-,-7.95,5.7,16.1
3,67,QUDO,2,-5.35,2.24,13.7
3,67,QUDO,-,-5.35,2.24,18.3
3,68,QUDO,1,-4.8,2.3,18.5
3,69,QUDO,1,1.8,48.1,16.57
3,70,QUDO,1,1.72,47.4,18.5
3,71,QUDO,1,3.45,47.4,25.3
3,72,QUDO,1,3.61,46.8,18
3,73,QUDO,1,5.45,40.35,14.5
3,74,QUDO,1,9.82,40.9,20.5
3,75,QUDO,1,11.45,40.35,27.8
3,76,QUDO,1,7.96,40.1,17.6
3,77,QUDO,1,9.12,39.42,25.6
3,78,QUDO,1,1.23,39.86,21.1
3,79,QUAG,1,6.38,39.33,46.5
3,80,QUDO,1,6.7,37.21,28
3,81,QUDO,1,6.89,35.66,12.1
3,82,QUDO,1,3.67,30.5,25.1
3,83,QUDO,1,4.33,30.5,15.1
3,84,QUDO,1,4.34,29.76,32.7
3,85,QUDO,2,0.73,28.9,23.1
3,85,QUDO,-,0.73,28.9,9.1
3,86,QUDO,1,6.45,26.75,17.5
3,87,QUDO,2,6.65,19.65,42.5
3,87,QUDO,-,6.65,19.65,21.5
3,88,QUDO,1,12.32,10.22,26
3,89,QUDO,1,10.72,10,30.8
3,90,QUDO,1,11.3,6.5,16.8
3,91,QUDO,1,8.7,8.2,34.2
3,92,QUDO,1,6.5,8.9,15.8
3,93,QUDO,1,3.2,9.8,13
3,94,QUDO,1,4.1,11.2,25.6
